ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E4,3,DW1636,91,135,44,88,11.6,2.29,63,541,1239,2762.5,36.35
E4,3,DW1637,89,131,42,83,6.5,2.43,63,573,1393,2960,38.9
E4,3,DW1638,91,128,37,83,10.8,2.21,64,417.5,923,2295,34.8
E4,3,DW1639,90,128,38,90,9.4,2.27,57,541,1227,2745,39.78
E4,3,DW1640,88,126,38,94,8.1,2.68,72,497,1330,2815,37.44
E4,3,HD3318,87,127,41,99,11.1,2.86,73,531,1518,2895,39
E4,3,HD3265,86,124,38,88,9.1,1.77,34,629,1113,2811,52.84
E4,3,DW1642,91,132,42,89,10.2,2.28,54,598.5,1362,3170,42.52
E4,3,DW1643,93,132,40,95,9.4,2.35,59,514,1209,2312.5,40.22
E4,3,DW1644,91,134,43,98,9.9,2.38,59,556,1326,2580,40.41
E4,3,DW1645,88,126,38,101,11.4,2.55,58,586,1492,3660,44.28
E4,3,HD3059,91,131,40,97,10.4,2.18,60,385,838,2267.5,36.26
E4,3,HD3266,91,130,40,100,10.9,1.97,57,678,1337,3030.5,34.59
E4,3,DW1615,91,131,40,93,9.8,2.08,55,590,1225,3360.5,37.9
E4,3,HDCSW18,95,132,37,95,11.9,2.94,71,497,1460,2290,41.68
E5,1,HD3171,79,108,29,75,9.4,1.86,41,636,1183,2175,45.37
E5,1,DW1616,82,116,34,76,9.6,2.06,50,660,1360,2580,41.2
E5,1,HD2864,81,109,28,75,9.3,1.94,50,525,1019,1992,38.8
E5,1,HD3086,77,106,29,74,9.3,1.77,49,672,1189,1890,36.12
E5,1,HD3249,80,108,28,76,9.4,2.38,55,642,1528,2500,43.43
E5,1,DW1627,78,108,30,75,9.2,1.8,51,650,1170,2250,35.57
E5,1,DW1628,79,110,31,75,9.3,2.02,50,585,1182,1920,40.4
E5,1,DW1629,79,109,30,72,8.9,1.75,49,563,985,1725,35.57
E5,1,HD3184,81,111,30,68,8.7,1.65,49,504,832,1470,33.67
E5,1,HD3252,78,108,30,72,9.2,2.06,45,662,1364,2150,45.78
E5,1,DW1630,81,111,30,76,9.8,1.94,52,627,1217,2070,37.33
E5,1,HD2932,81,111,30,74,9.7,1.98,57,720,1423,2350,34.67
E5,1,DW1631,79,109,30,74,9.2,1.73,47,570,989,1800,36.91
E5,1,DW1632,81,111,30,74,9,1.93,49,621,1200,2445,39.42
E5,1,WR544,74,106,32,69,9.1,1.12,33,552,616,1726,33.82
E5,1,HD3255,80,111,31,77,8.9,1.98,49,759,1502,2508,40.21
E5,1,DW1633,81,110,29,74,9.5,1.95,50,468,914,1620,38.73
E5,1,DW1634,77,107,30,75,9.1,1.8,49,632,1138,1950,36.73
E5,1,DW1635,81,112,31,68,9.6,1.7,48,519,880,1545,35.04
E5,1,HD3090,80,111,31,72,9.3,2.01,52,618,1242,2085,38.65
E5,1,HD3262,80,109,29,75,8.7,1.75,46,602,1052,1935,38.14
E5,1,DW1636,78,111,33,73,9.2,2.24,60,705,1579,2130,37.33
E5,1,DW1637,80,109,29,73,9.7,1.9,54,571,1085,1845,35.19
E5,1,DW1638,79,108,29,74,8.9,1.71,42,564,964,1860,40.71
E5,1,DW1639,82,110,28,65,9,1.46,41,612,892,1701,35.55
E5,1,DW1640,80,108,28,66,9.4,1.46,49,730,1065,2175,29.76
E5,1,HD3318,78,107,29,73,9.5,1.99,58,630,1257,1980,34.39
E5,1,HD3265,82,108,26,67,9.7,1.95,50,516,1006,1832,39
E5,1,DW1642,83,111,28,65,8.6,1.92,50,480,921,1455,38.36
E5,1,DW1643,84,113,29,71,9.8,1.93,56,588,1134,1720,34.19
E5,1,DW1644,85,114,29,69,10,1.9,52,410,779,1320,36.54
E5,1,DW1645,79,109,30,67,10.4,1.53,42,475,729,1450,36.18
E5,1,HD3059,79,109,30,70,9.8,2.05,60,472,966,1600,33.87
E5,1,HD3266,79,110,31,75,10.7,1.96,45,498,974,1650,43.47
E5,1,DW1615,78,113,35,73,10.2,1.68,42,780,1310,2565,40
E5,1,HDCSW18,80,113,33,84,11.3,1.61,58,486,785,1530,28.03
E5,2,HD3171,81,111,30,73,9.5,1.76,42,648,1140,2174,41.9
E5,2,DW1616,83,118,35,75,9.5,2.07,51,666,1379,2570,40.59
E5,2,HD2864,82,111,29,73,9.5,1.95,53,530,1034,1990,36.79
E5,2,HD3086,78,108,30,73,9.5,1.6,48,630,1005,1920,33.37
E5,2,HD3249,80,109,29,76,9.5,2.15,54,606,1304,2490,39.83
E5,2,DW1627,76,107,31,74,9.5,1.75,51,642,1124,2210,34.05
E5,2,DW1628,80,112,32,73,9.5,1.99,48,580,1154,1921,41.46
E5,2,DW1629,80,111,31,72,9,1.67,49,564,942,1726,34.08
E5,2,HD3184,81,112,31,70,8.9,1.55,48,504,781,1410,32.29
E5,2,HD3252,79,110,31,73,9.6,1.99,47,663,1316,2160,42.24
E5,2,DW1630,82,113,31,75,9.6,1.57,50,626,985,1920,31.73
E5,2,HD2932,82,113,31,73,9.6,2.21,59,732,1618,2310,37.46
E5,2,DW1631,78,109,31,72,9.6,1.48,49,540,799,1675,30.33
E5,2,DW1632,82,111,29,72,9.2,1.96,50,620,1217,2450,38.96
E5,2,WR544,75,106,31,71,9.1,1.55,34,590,915,1725,45.63
E5,2,HD3255,82,112,30,75,9,1.88,51,708,1328,2500,36.79
E5,2,DW1633,82,110,28,72,9.8,1.85,52,438,808,1625,35.49
E5,2,DW1634,78,107,29,72,9.8,1.73,48,631,1092,1950,36.04
E5,2,DW1635,81,111,30,71,9.8,1.55,47,520,806,1540,33.11
E5,2,HD3090,81,111,30,72,9.4,1.98,50,654,1295,2000,39.29
E5,2,HD3262,80,108,28,74,9,1.82,48,601,1091,1940,37.83
E5,2,DW1636,79,111,32,71,9.9,1.95,59,701,1368,2120,33.08
E5,2,DW1637,82,112,30,71,10,1.85,51,572,1058,1846,35.99
E5,2,DW1638,80,110,30,71,9.5,1.8,40,563,1013,1865,45
E5,2,DW1639,81,110,29,66,9.1,1.33,39,613,818,1710,34.22
E5,2,DW1640,81,110,29,68,9.5,1.65,49,731,1209,2178,33.75
E5,2,HD3318,78,108,30,71,9.5,1.74,55,618,1073,1982,31.8
E5,2,HD3265,80,107,27,67,10.3,1.86,49,540,1004,1830,37.96
E5,2,DW1642,84,113,29,66,8.6,1.75,48,498,870,1410,36.69
E5,2,DW1643,83,113,30,70,10.5,1.88,51,390,733,1380,36.86
E5,2,DW1644,83,113,30,73,9.8,1.94,59,564,1095,1725,32.91
E5,2,DW1645,80,111,31,68,10.5,1.72,45,480,827,1425,38.46
E5,2,HD3059,78,109,31,72,10,2.02,61,470,950,1590,33.03
E5,2,HD3266,79,111,32,77,10.8,1.33,43,497,661,1655,30.91
E5,2,DW1615,80,116,36,76,10.9,1.58,40,781,1234,2560,39.12
E5,2,HDCSW18,82,116,34,83,11.3,1.88,57,450,848,1532,33.29
E5,3,HD3171,80,110,30,74,9.4,1.81,42,642,1162,2175,43.61
E5,3,DW1616,83,117,35,76,9.5,2.07,51,663,1369,2575,40.89
E5,3,HD2864,82,110,29,74,9.4,1.95,52,528,1026,1991,37.77
E5,3,HD3086,78,107,30,74,9.4,1.68,48,651,1095,1905,34.76
E5,3,HD3249,80,109,29,76,9.5,2.27,54,624,1414,2495,41.65
E5,3,DW1627,77,108,31,75,9.3,1.78,51,646,1147,2230,34.8
E5,3,DW1628,80,111,32,74,9.4,2.01,49,583,1168,1921,40.92
E5,3,DW1629,80,110,31,72,9,1.71,49,564,964,1726,34.83
E5,3,HD3184,81,112,31,69,8.8,1.6,49,504,806,1440,32.99
E5,3,HD3252,79,109,31,72,9.4,2.02,46,663,1340,2155,43.97
E5,3,DW1630,82,112,31,76,9.7,1.76,51,627,1101,1995,34.6
E5,3,HD2932,82,112,31,74,9.7,2.09,58,726,1520,2330,36.09
E5,3,DW1631,79,109,31,73,9.4,1.61,48,555,892,1738,33.56
E5,3,DW1632,82,111,30,73,9.1,1.95,50,621,1209,2448,39.19
E5,3,WR544,75,106,32,70,9.1,1.33,34,571,762,1726,39.81
E5,3,HD3255,81,112,31,76,9,1.93,50,734,1414,2504,38.47
E5,3,DW1633,82,110,29,73,9.6,1.9,51,453,860,1623,37.09
E5,3,DW1634,78,107,30,73,9.4,1.77,49,632,1115,1950,36.39
E5,3,DW1635,81,112,31,70,9.7,1.62,48,520,843,1543,34.09
E5,3,HD3090,81,111,31,72,9.4,2,51,636,1269,2043,38.96
E5,3,HD3262,80,109,29,75,8.9,1.78,47,602,1071,1938,37.98
E5,3,DW1636,79,111,33,72,9.6,2.1,60,703,1473,2125,35.22
E5,3,DW1637,81,111,30,72,9.8,1.88,53,572,1072,1846,35.58
E5,3,DW1638,80,109,30,72,9.2,1.76,41,564,989,1863,42.8
E5,3,DW1639,82,110,29,66,9.1,1.4,40,613,855,1706,34.9
E5,3,DW1640,81,109,29,67,9.5,1.56,49,731,1137,2177,31.76
E5,3,HD3318,78,108,30,72,9.5,1.87,56,624,1164,1981,33.13
E5,3,HD3265,81,108,27,67,10,1.91,50,528,1006,1831,38.48
E5,3,DW1642,84,112,29,66,8.6,1.83,49,489,896,1433,37.55
E5,3,DW1643,84,113,30,72,9.8,1.94,58,576,1115,1723,33.54
E5,3,DW1644,84,114,30,69,10.3,1.89,52,400,756,1350,36.7
E5,3,DW1645,80,110,31,68,10.5,1.63,44,478,778,1438,37.35
E5,3,HD3059,79,109,31,71,9.9,2.03,61,471,958,1595,33.45
E5,3,HD3266,79,111,32,76,10.7,1.64,44,498,817,1653,37.33
E5,3,DW1615,79,115,36,74,10.6,1.63,41,781,1272,2563,39.57
E5,3,HDCSW18,81,115,34,83,11.3,1.75,57,468,819,1531,30.64
E6,1,HD3171,70,98,28,67,11,1.73,44,420,727,1680,39.32
E6,1,DW1616,71,89,18,70,8,2.1,44,408,857,1530,47.73
E6,1,HD2864,69,96,27,76,9.8,2.01,64,435,874,1740,31.41
E6,1,HD3086,58,92,34,79,10,1.85,44,390,721,1590,42.03
E6,1,HD3249,63,91,28,77,8.5,2.05,42,380,779,1710,48.81
E6,1,DW1627,60,94,34,76,10.5,1.16,40,372,431,1390,28.94
E6,1,DW1628,62,91,29,73,9.5,1.92,56,485,931,1700,34.53
E6,1,DW1629,57,84,27,70,8.3,1.64,36,438,718,1395,45.55
E6,1,HD3184,65,90,25,92,9.8,1.95,39,462,901,2040,49.74
E6,1,HD3252,61,91,30,72,11.3,1.84,49,498,914,1760,37.47
E6,1,DW1630,62,89,27,65,10.3,2.28,61,503,1147,2210,37.62
E6,1,HD2932,60,87,27,65,9.8,1.6,52,504,804,1635,30.51
E6,1,DW1631,61,82,21,71,10.5,1.39,45,370,514,1102,30.86
E6,1,DW1632,58,80,22,60,10.8,1.91,49,400,766,1200,39.07
E6,1,WR544,43,79,36,68,9.5,1.74,46,540,940,1840,37.5
E6,1,HD3255,57,85,28,66,8.3,1.38,45,510,705,1670,30.71
E6,1,DW1633,57,82,25,57,9.8,1.39,58,438,609,1840,24.14
E6,1,DW1634,50,82,32,67,9.8,1.37,49,472,647,1410,27.99
E6,1,DW1635,52,75,23,59,11.3,1.65,59,489,807,1590,28.16
E6,1,HD3090,49,82,33,59,10.8,1.82,37,588,1072,1860,49.27
E6,1,HD3262,47,82,35,66,9.3,1.67,39,520,870,2071,42.91
E6,1,DW1636,48,75,27,73,10,1.62,30,580,941,1962,53.75
E6,1,DW1637,44,79,35,79,12.8,1.4,53,460,645,1890,26.57
E6,1,DW1638,45,76,31,79,9.3,1.38,39,597,824,2041,35.38
E6,1,DW1639,46,72,26,67,9.5,1.97,45,450,887,1650,43.78
E6,1,DW1640,45,73,28,68,10.8,1.1,39,388,425,1435,28.08
E6,1,HD3318,39,73,34,71,9.5,2.23,60,444,989,1770,37.11
E6,1,HD3265,36,72,36,73,8.5,1.64,40,620,1019,2100,41.11
E6,1,DW1642,39,65,26,75,10.3,2.03,35,482,977,1900,57.9
E6,1,DW1643,42,68,26,79,9.8,1.68,34,490,822,1900,49.35
E6,1,DW1644,41,67,26,72,11.8,1.82,30,465,846,1800,60.67
E6,1,DW1645,41,63,22,81,9.8,1.87,45,560,1047,2100,41.54
E6,1,HD3059,40,65,25,77,10.8,1.75,53,540,946,1840,33.06
E6,1,HD3266,34,60,26,83,8.8,1.76,37,599,1056,2332,47.89
E6,1,DW1615,38,64,26,78,9.8,1.5,48,598,897,2340,31.25
E6,1,HDCSW18,38,65,27,84,10.5,1.55,49,608,942,2358,31.63
E6,2,HD3171,68,97,29,67,11,1.74,45,425,740,1698,38.67
E6,2,DW1616,70,89,19,69,8.5,2.14,43,410,878,1540,49.8
E6,2,HD2864,69,97,28,75,9.5,1.95,61,438,854,1800,31.97
E6,2,HD3086,59,94,35,77,9.8,1.79,41,384,688,1500,43.67
E6,2,HD3249,64,93,29,75,8.8,1.95,41,400,780,1680,47.56
E6,2,DW1627,60,93,33,74,11,1.42,39,360,513,1420,36.53
E6,2,DW1628,63,91,28,71,9.3,1.82,55,450,819,1695,33.21
E6,2,DW1629,59,85,26,73,8,1.62,37,433,704,1400,43.68
E6,2,HD3184,66,90,24,91,10.3,1.98,41,452,895,2100,48.41
E6,2,HD3252,61,90,29,73,10.8,1.59,48,502,797,1780,33.07
E6,2,DW1630,62,88,26,67,9.3,2.18,57,520,1134,2205,38.52
E6,2,HD2932,60,87,27,65,9.8,1.52,51,522,793,1605,29.8
E6,2,DW1631,62,83,21,71,10.3,1.62,45,354,575,1155,36.43
E6,2,DW1632,59,81,22,62,10.5,1.6,51,384,616,1290,31.46
E6,2,WR544,44,78,34,67,9.8,1.84,51,510,938,1890,35.94
E6,2,HD3255,58,85,27,64,8.8,1.47,47,520,765,1690,31.3
E6,2,DW1633,59,83,24,53,10.3,1.76,54,426,749,1845,32.55
E6,2,DW1634,52,83,31,65,10,1.39,51,470,651,1410,27.38
E6,2,DW1635,51,73,22,59,11.8,1.9,55,488,925,1500,34.71
E6,2,HD3090,49,81,32,58,10.8,2,37,528,1056,1830,54.35
E6,2,HD3262,47,81,34,68,9.3,1.56,40,540,842,2070,38.99
E6,2,DW1636,48,76,28,76,10,1.97,31,578,1139,1965,63.59
E6,2,DW1637,46,82,36,74,12.5,1.3,51,470,609,1910,25.61
E6,2,DW1638,44,76,32,80,9.8,1.17,40,577,677,1998,29.34
E6,2,DW1639,45,72,27,69,9,2.03,43,492,999,1690,47.21
E6,2,DW1640,46,75,29,67,10.3,1.49,40,390,582,1500,37.33
E6,2,HD3318,41,74,33,73,9,2.12,58,450,956,1740,36.63
E6,2,HD3265,36,71,35,72,9,1.89,38,594,1122,2070,49.71
E6,2,DW1642,40,65,25,74,9.8,2.29,33,480,1101,1954,69.11
E6,2,DW1643,42,67,25,70,11.5,1.72,32,471,810,1890,53.75
E6,2,DW1644,43,69,26,78,10,1.46,35,502,735,1920,41.82
E6,2,DW1645,43,66,23,85,10.5,1.57,44,555,871,2102,35.69
E6,2,HD3059,41,67,26,75,11,1.52,52,510,777,1790,29.32
E6,2,HD3266,36,63,27,82,8.3,1.73,36,620,1075,2400,48.45
E6,2,DW1615,37,64,27,76,9.5,1.57,50,620,973,2492,31.4
E6,2,HDCSW18,38,66,28,81,10.5,1.6,48,602,963,2390,33.33
E6,3,HD3171,69,98,29,67,11,1.74,45,423,733,1689,38.99
E6,3,DW1616,71,89,19,70,8.3,2.12,44,409,867,1535,48.75
E6,3,HD2864,69,97,28,76,9.6,1.98,63,437,864,1770,31.68
E6,3,HD3086,59,93,35,78,9.9,1.82,43,387,704,1545,42.82
E6,3,HD3249,64,92,29,76,8.6,2,42,390,780,1695,48.19
E6,3,DW1627,60,94,34,75,10.8,1.29,40,366,473,1405,32.68
E6,3,DW1628,63,91,29,72,9.4,1.87,55,468,874,1698,33.88
E6,3,DW1629,58,85,27,71,8.1,1.63,37,436,711,1398,44.6
E6,3,HD3184,66,90,25,91,10,1.97,40,457,898,2070,49.06
E6,3,HD3252,61,91,30,72,11,1.71,49,500,856,1770,35.29
E6,3,DW1630,62,89,27,66,9.8,2.23,59,512,1141,2208,38.05
E6,3,HD2932,60,87,27,65,9.8,1.56,52,513,799,1620,30.16
E6,3,DW1631,62,83,21,71,10.4,1.51,45,362,545,1129,33.63
E6,3,DW1632,59,81,22,61,10.6,1.76,50,392,690,1245,35.19
E6,3,WR544,44,79,35,67,9.6,1.79,49,525,940,1865,36.68
E6,3,HD3255,58,85,28,65,8.5,1.43,46,515,735,1680,31.01
E6,3,DW1633,58,83,25,55,10,1.57,56,432,680,1843,28.21
E6,3,DW1634,51,83,32,66,9.9,1.38,50,471,649,1410,27.68
E6,3,DW1635,52,74,23,59,11.5,1.77,57,489,866,1545,31.32
E6,3,HD3090,49,82,33,58,10.8,1.91,37,558,1067,1845,51.8
E6,3,HD3262,47,82,35,67,9.3,1.62,40,530,857,2071,40.92
E6,3,DW1636,48,76,28,74,10,1.8,31,579,1041,1964,58.74
E6,3,DW1637,45,81,36,76,12.6,1.35,52,465,627,1900,26.1
E6,3,DW1638,45,76,32,80,9.5,1.28,40,587,749,2020,32.32
E6,3,DW1639,46,72,27,68,9.3,2,44,471,942,1670,45.45
E6,3,DW1640,46,74,29,67,10.5,1.29,40,389,503,1468,32.76
E6,3,HD3318,40,74,34,72,9.3,2.18,59,447,972,1755,36.87
E6,3,HD3265,36,72,36,72,8.8,1.77,39,607,1072,2085,45.3
E6,3,DW1642,40,65,26,74,10,2.16,34,481,1039,1927,63.36
E6,3,DW1643,43,69,26,78,9.9,1.57,35,496,779,1910,45.53
E6,3,DW1644,42,67,26,71,11.6,1.77,31,468,828,1845,57.1
E6,3,DW1645,42,65,23,83,10.1,1.72,45,558,959,2101,38.65
E6,3,HD3059,41,66,26,76,10.9,1.64,53,525,860,1815,31.2
E6,3,HD3266,35,62,27,82,8.5,1.75,36,610,1066,2366,48.16
E6,3,DW1615,38,64,27,77,9.6,1.54,49,609,935,2416,31.33
E6,3,HDCSW18,38,66,28,82,10.5,1.58,49,605,953,2374,32.47
